id,name,profile_id,birthdate,picture_id,nfl_URL_name
1,Parris Campbell,2562495,7/16/1997,voqg6gkginusqppfsygw,parris-campbell
2,Devine Ozigbo,2562409,10/2/1996,vrctwm76mza2olntis7q,devine-ozigbo
3,Joshua Kelley,2565054,11/20/1997,pkqsegmcbmbjlvwfzzl2,joshua-kelley
