id,name,profile_id,birthdate,picture_id,nfl_url_name
1,Tyler Bass,2563596,02/14/1997,kfdhebiaodlh02eikayl,tyler-bass
2,Salvon Ahmed,2565090,12/30/1998,qjmvqdjdtrycr4zixl2v,salvon-ahmed
3,Ryan Nall,2560817,12/27/1995,jbvopfzyogx9xnjzxten,ryan-nall
